label,event_offset,ksvc,decided,decision,tier,boost_cpu,warm_cpu,mode,send_wallclock,latency_ms,http_code,attempts
nimbus,0.000,loadtest-yolo-001,1,admit,c_opt,975m,675m,NORMAL,1784222950.288,12432.5,200,63
nimbus,10.000,loadtest-yolo-002,1,admit,c_opt,975m,675m,NORMAL,1784222960.088,12940.0,200,68
nimbus,20.000,loadtest-yolo-003,1,admit,c_opt,975m,675m,NORMAL,1784222970.088,11259.1,200,59
nimbus,30.000,loadtest-yolo-004,1,admit,c_opt,975m,675m,NORMAL,1784222980.087,12645.7,200,68
nimbus,40.000,loadtest-yolo-005,1,admit,c_opt,975m,675m,NORMAL,1784222990.087,12368.9,200,63
nimbus,50.000,loadtest-yolo-006,1,admit,c_opt,975m,675m,NORMAL,1784223000.088,11872.9,200,61
nimbus,60.000,loadtest-yolo-007,1,admit,c_opt,975m,675m,NORMAL,1784223010.087,12676.1,200,67
nimbus,70.000,loadtest-yolo-008,1,admit,c_opt,975m,675m,NORMAL,1784223020.089,13302.8,200,69
nimbus,80.000,loadtest-yolo-009,1,admit,c_opt,975m,675m,NORMAL,1784223030.089,11044.3,200,57
nimbus,90.000,loadtest-yolo-010,1,admit,c_opt,975m,675m,NORMAL,1784223040.087,12506.4,200,67
nimbus,100.000,loadtest-yolo-001,1,admit,c_opt,975m,675m,NORMAL,1784223050.086,12278.6,200,65
nimbus,110.000,loadtest-yolo-002,1,admit,c_opt,975m,675m,NORMAL,1784223060.088,11716.1,200,61
nimbus,120.000,loadtest-yolo-003,1,admit,c_opt,975m,675m,NORMAL,1784223070.088,12520.9,200,65
nimbus,130.000,loadtest-yolo-004,1,admit,c_opt,975m,675m,NORMAL,1784223080.087,12809.7,200,67
nimbus,140.000,loadtest-yolo-005,1,admit,c_opt,975m,675m,NORMAL,1784223090.087,10791.3,200,55
nimbus,150.000,loadtest-yolo-006,1,admit,c_opt,975m,675m,NORMAL,1784223100.088,13058.7,200,71
nimbus,160.000,loadtest-yolo-007,1,admit,c_opt,975m,675m,NORMAL,1784223110.089,13425.1,200,70
nimbus,170.000,loadtest-yolo-008,1,admit,c_opt,975m,675m,NORMAL,1784223120.087,11586.6,200,61
nimbus,180.000,loadtest-yolo-009,1,admit,c_opt,975m,675m,NORMAL,1784223130.087,12962.4,200,69
nimbus,190.000,loadtest-yolo-010,1,admit,c_opt,975m,675m,NORMAL,1784223140.089,12546.2,200,66
nimbus,200.000,loadtest-yolo-001,1,admit,c_opt,975m,675m,NORMAL,1784223150.088,11145.9,200,59
nimbus,210.000,loadtest-yolo-002,1,admit,c_opt,975m,675m,NORMAL,1784223160.087,12927.1,200,67
nimbus,220.000,loadtest-yolo-003,1,admit,c_opt,975m,675m,NORMAL,1784223170.087,13287.3,200,72
nimbus,230.000,loadtest-yolo-004,1,admit,c_opt,975m,675m,NORMAL,1784223180.089,11242.6,200,61
nimbus,240.000,loadtest-yolo-005,1,admit,c_opt,975m,675m,NORMAL,1784223190.088,13331.7,200,71
nimbus,250.000,loadtest-yolo-006,1,admit,c_opt,975m,675m,NORMAL,1784223200.087,12916.2,200,68
nimbus,260.000,loadtest-yolo-007,1,admit,c_opt,975m,675m,NORMAL,1784223210.087,11262.9,200,59
nimbus,270.000,loadtest-yolo-008,1,admit,c_opt,975m,675m,NORMAL,1784223220.087,12915.3,200,70
nimbus,280.000,loadtest-yolo-009,1,admit,c_opt,975m,675m,NORMAL,1784223230.089,12748.2,200,66
nimbus,290.000,loadtest-yolo-010,1,admit,c_opt,975m,675m,NORMAL,1784223240.087,11813.9,200,63
